City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
192,Grindavik,IS,2021-05-15 19:31:35,63.8424,-22.4338,44.6,57,75,11.5
193,Inhambane,MZ,2021-05-15 19:31:35,-23.865,35.3833,73.4,94,0,3.44
194,Maloy,NO,2021-05-15 19:31:35,61.9353,5.1136,55.4,71,90,5.75
195,Vao,NC,2021-05-15 19:31:35,-22.6667,167.4833,75.74,84,88,6.49
196,Sukhodol,RU,2021-05-15 19:31:36,53.9006,51.2117,66.81,52,0,5.41
197,Mackay,AU,2021-05-15 19:31:33,-21.15,149.2,55.4,67,0,8.05
198,Sistranda,NO,2021-05-15 19:31:36,63.7256,8.834,55.4,62,75,19.57
199,Coihueco,CL,2021-05-15 19:31:36,-36.6167,-71.8333,62.6,59,0,2.3
200,Hun,LY,2021-05-15 19:31:36,29.1268,15.9477,74.88,45,0,13.38
201,Severo-Kurilsk,RU,2021-05-15 19:31:37,50.6789,156.125,39.9,76,100,8.63
202,Kampot,KH,2021-05-15 19:31:37,10.6167,104.1833,78.8,94,40,3.44
203,Ranfurly,NZ,2021-05-15 19:31:37,-45.1333,170.1,43.0,90,72,5.32
204,Tondano,ID,2021-05-15 19:31:37,1.3038,124.9112,77.0,94,20,1.14
205,Pangody,RU,2021-05-15 19:31:37,65.85,74.4859,29.66,56,94,9.6
206,Amberley,US,2021-05-15 19:31:38,39.2048,-84.428,73.0,21,1,9.22
207,Iqaluit,CA,2021-05-15 19:31:38,63.7506,-68.5145,26.6,68,40,9.22
208,Springbok,ZA,2021-05-15 19:31:38,-29.6643,17.8865,53.04,89,100,14.5
209,Asyut,EG,2021-05-15 19:31:38,27.181,31.1837,84.2,24,0,13.8
210,Zhangye,CN,2021-05-15 19:31:39,38.9342,100.4517,59.29,29,100,6.78
211,Orizatlan,MX,2021-05-15 19:31:39,21.1833,-98.6167,86.85,53,67,4.92
212,Barrow,US,2021-05-15 19:31:39,71.2906,-156.7887,24.8,86,90,10.36
213,Kazerun,IR,2021-05-15 19:31:39,29.6195,51.6541,76.39,22,0,3.89
214,Roebourne,AU,2021-05-15 19:31:40,-20.7833,117.1333,70.99,35,0,13.42
215,Tura,IN,2021-05-15 19:31:40,25.5198,90.2201,71.1,91,0,4.5
216,Khatanga,RU,2021-05-15 19:31:40,71.9667,102.5,6.31,96,74,6.93
217,Lakes Entrance,AU,2021-05-15 19:31:41,-37.8811,147.981,46.99,73,99,10.76
218,Tazovskiy,RU,2021-05-15 19:31:41,67.4667,78.7,12.6,94,9,4.59
219,Macau,MO,2021-05-15 19:31:41,22.2006,113.5461,84.2,89,20,11.5
220,Vinstra,NO,2021-05-15 19:31:41,61.5952,9.7523,47.84,97,100,6.8
221,Ayan,RU,2021-05-15 19:31:42,56.45,138.1667,31.89,97,100,36.53
222,Avarua,CK,2021-05-15 19:31:42,-21.2078,-159.775,80.6,69,75,8.05
223,Asfi,MA,2021-05-15 19:31:42,32.2994,-9.2372,69.44,64,60,23.82
224,Mikhaylovka,RU,2021-05-15 19:31:42,50.06,43.2379,65.84,56,8,5.37
225,Lubao,PH,2021-05-15 19:31:43,14.9167,120.55,80.6,78,40,2.3
226,Cabo San Lucas,MX,2021-05-15 19:28:58,22.8909,-109.9124,90.0,40,1,5.75
